Tipo de Producto;Producto;Código Barras;SKU;Stock;Costo Neto Prom. Unitario;Costo Neto Prom. Total;Cantidad por Despachar;Cantidad Disponible;Por Recibir;Marca;Lista de Precios;Precio Venta Bruto;Margen Unitario
ROPA CORPORATIVA;BLUSA - DENIM 2 BOLSILLOS COD.35620 AZUL 084 TALLA XXXL;1606946448017;1606946448017;2;5500;11000;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;19600;10970,59
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 AZUL 079 TALLA L;1608237087344;1608237087344;3;4900;14700;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 AZUL 079 TALLA M;1608237080240;1608237080240;3;0;0;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;14201,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 AZUL 079 TALLA S;1608237075052;1608237075052;3;4900;14700;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 AZUL 079 TALLA XL;1608237093388;1608237093388;1;4900;4900;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 AZUL 079 TALLA XS;1608237062774;1608237062774;2;4900;9800;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 AZUL 079 TALLA XXL;1608237100072;1608237100072;3;4900;14700;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 AZUL 079 TALLA XXXL;1608237107717;1608237107717;3;4900;14700;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 GRIS 003 TALLA L;1608237147832;1608237147832;5;4900;24500;0;5;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 GRIS 003 TALLA M;1608237141262;1608237141262;5;4900;24500;0;5;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 GRIS 003 TALLA S;1608237133188;1608237133188;5;4900;24500;0;5;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 GRIS 003 TALLA XL;1608237153946;1608237153946;5;0;0;0;5;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;14201,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 GRIS 003 TALLA XS;1608237126892;1608237126892;2;4900;9800;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 GRIS 003 TALLA XXL;1608237162619;1608237162619;2;4900;9800;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - FIL FIL JAYSON M/L COD. 3520 GRIS 003 TALLA XXXL;1608237170818;1608237170818;2;4900;9800;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;16900;9301,68
ROPA CORPORATIVA;BLUSA - JUBAE RIPSTOP OUTWORK COD:060050 BLANCO TALLA L;1625051793143;1625051793143;5;11603;58015;0;5;0;;CLIENTE LOCAL ARCAM VIGENTE;38900;21086,08
ROPA CORPORATIVA;BLUSA - JUBAE RIPSTOP OUTWORK COD:060050 BLANCO TALLA M;1601762674287;1601762674287;6;11603;69618;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;38900;21086,08
